时间,电压,周期,温箱数据
11:56:34,50.000,2,079
11:56:36,50.000,2,078
11:56:38,50.000,2,079
11:56:40,50.000,2,079
11:56:42,50.000,2,078
11:56:44,50.000,2,079
11:56:46,50.000,2,079
11:56:48,50.000,2,078
11:56:50,50.000,2,079
11:56:52,50.000,2,079
11:56:54,50.000,2,079
11:56:56,50.000,2,079
11:56:58,50.000,2,078
11:57:00,50.000,2,080
11:57:02,10.000,2,079
11:57:04,10.000,2,079
11:57:06,10.000,2,078
11:57:08,10.000,2,079
11:57:10,10.000,2,077
11:57:12,10.000,2,079
11:57:14,10.000,2,079
11:57:16,10.000,2,079
11:57:18,10.000,2,079
11:57:20,10.000,2,078
11:57:22,10.000,2,080
11:57:24,10.000,2,078
11:57:26,10.000,2,079
11:57:28,10.000,2,077
11:57:30,10.000,2,079
11:57:32,50.000,2,079
11:57:34,50.000,2,078
11:57:36,50.000,2,080
11:57:38,50.000,2,077
11:57:40,50.000,2,077
11:57:42,50.000,2,080
11:57:44,50.000,2,079
11:57:46,50.000,2,079
11:57:48,50.000,2,079
11:57:50,50.000,2,079
11:57:52,50.000,2,078
11:57:54,50.000,2,080
11:57:56,50.000,2,079
11:57:58,50.000,2,077
11:58:00,50.000,2,077
11:58:02,50.000,2,080
11:58:04,50.000,2,079
11:58:06,50.000,2,078
11:58:08,50.000,2,078
11:58:10,50.000,2,079
11:58:12,50.000,2,079
11:58:14,50.000,2,079
11:58:16,50.000,2,080
11:58:18,50.000,2,079
11:58:20,50.000,2,080
11:58:22,50.000,2,080
11:58:24,50.000,2,080
11:58:26,50.000,2,080
11:58:28,50.000,2,079
11:58:30,50.000,2,079
